EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
156.4,4,656953,7188,0.16882321,0.16882321,1436.874988079071,0.004430842,0.0,0.7463359534740448,37.25349,156.4
156.1,3,657338,7191,0.18048197,0.18048197,1438.6616189479828,0.0044404427,0.0,0.6067723035812378,37.253784,156.1
151.825,4,657871,7195,0.18366322,0.18366322,1440.7609841823578,0.0043447632,0.0,0.7834183126688004,37.246136,151.825
152.325,5,658596,7200,0.16633081,0.16633081,1441.8914539813995,0.004146263,0.0,0.8890322968363762,37.23711,152.325
145.3,4,659190,7204,0.17503606,0.17503606,1443.0835101604462,0.004308035,0.0,0.6990290284156799,37.238174,145.3
146.875,3,659592,7207,0.1797137,0.1797137,1444.4814059734344,0.0046611456,0.0,0.7854364067316055,37.235836,146.875
144.45,4,660132,7211,0.20348215,0.20348215,1445.66397690773,0.0047864257,0.0,0.754837229847908,37.234623,144.45
146.225,3,660547,7214,0.16941074,0.16941074,1446.8626902103424,0.0044844495,0.0,0.40010756254196167,37.23853,146.225
145.5,4,661154,7218,0.17476603,0.17476603,1448.0489358901978,0.004002609,0.0,0.6240963935852051,37.231815,145.5
143.1,4,661737,7222,0.15875511,0.15875511,1448.973393201828,0.0046541877,0.0,0.5020773112773895,37.223194,143.1
144.375,3,662245,7225,0.1992408,0.1992408,1450.0231392383575,0.0046981997,0.0,0.531181126832962,37.220757,144.375
143.4,2,662524,7227,0.16199982,0.16199982,1451.3107702732086,0.0045517012,0.0,0.32870930433273315,37.21229,143.4
144.525,4,663119,7231,0.17305467,0.17305467,1452.2241652011871,0.004182844,0.0,0.6539539098739624,37.20695,144.525
144.95,4,663669,7235,0.16399398,0.16399398,1453.1449773311615,0.004614977,0.0,0.7399660646915436,37.19463,144.95
146.425,4,664300,7239,0.17760514,0.17760514,1454.1330041885376,0.004703774,0.0,0.24163925647735596,37.199707,146.425
145.475,4,664881,7243,0.17858653,0.17858653,1455.3545231819153,0.0042272313,0.0,0.7485421597957611,37.194473,145.475
145.725,4,665421,7247,0.17761433,0.17761433,1456.1688451766968,0.0043028174,0.0,0.48948413133621216,37.193676,145.725
149.7,3,665875,7250,0.16735302,0.16735302,1457.4587080478668,0.004229567,0.0,0.4606955051422119,37.184498,149.7
149.8,4,666539,7254,0.17166868,0.17166868,1458.439486026764,0.00436125,0.0,0.8699401766061783,37.18513,149.8
148.925,3,666995,7257,0.18020628,0.18020628,1459.6168320178986,0.004287206,0.0,0.797052726149559,37.188343,148.925
146.2,4,667478,7261,0.17199472,0.17199472,1461.0394060611725,0.0049247723,0.0,0.5742680132389069,37.173046,146.2
147.0,3,667901,7264,0.1742639,0.1742639,1462.2293722629547,0.004609919,0.0,0.6323313415050507,37.172253,147.0
142.425,4,668419,7268,0.16947967,0.16947967,1463.0226681232452,0.004228205,0.0,0.7681212574243546,37.171375,142.425
143.45,3,668857,7271,0.19235036,0.19235036,1463.8145771026611,0.0045024734,0.0,0.8687580525875092,37.169918,143.45
147.6,3,669338,7274,0.19023421,0.19023421,1465.0597581863403,0.004773386,0.0,0.8004680126905441,37.17322,147.6
142.85,4,669831,7278,0.16826798,0.16826798,1466.1862771511078,0.0043139867,0.0,0.35388708114624023,37.171997,142.85
146.275,2,670286,7280,0.16261724,0.16261724,1467.081285238266,0.004458203,0.0,0.4246538281440735,37.167973,146.275
144.475,3,670660,7283,0.17784916,0.17784916,1468.0743961334229,0.0047897594,0.0,0.7842690497636795,37.16737,144.475
142.825,4,671134,7287,0.1866801,0.1866801,1469.9036490917206,0.0042999536,0.0,0.25381726026535034,37.16084,142.825
141.775,4,671689,7291,0.18181139,0.18181139,1471.256989955902,0.0040415647,0.0,0.6741848587989807,37.157795,141.775
140.0,2,671952,7293,0.16258296,0.16258296,1472.5268301963806,0.0041931095,0.0,0.6820501685142517,37.144947,140.0
139.85,4,672589,7297,0.18498299,0.18498299,1473.8932621479034,0.004431756,0.0,0.7400790452957153,37.135136,139.85
144.725,3,673182,7300,0.17425117,0.17425117,1475.1795780658722,0.0045121755,0.0,0.6734799742698669,37.125774,144.725
145.875,3,673600,7303,0.18336767,0.18336767,1475.9552292823792,0.0043434408,0.0,0.5680521726608276,37.130047,145.875
148.05,3,674143,7306,0.17594844,0.17594844,1476.746589899063,0.0044988026,0.0,0.7236988544464111,37.123585,148.05
151.05,3,674577,7309,0.17127642,0.17127642,1477.7048392295837,0.004417996,0.0,0.49613726139068604,37.117107,151.05
154.675,3,675214,7312,0.16252013,0.16252013,1478.4835391044617,0.0040977187,0.0,0.5913898646831512,37.128677,154.675
156.45,3,675719,7315,0.17503461,0.17503461,1479.24737906456,0.004711055,0.0,0.5125342607498169,37.126724,156.45
