# {"t_start": 1555742577.155676, "env_id": null} 
r,l,t
62.0,62,17.573378
31.0,31,17.661509
30.0,30,17.689124
27.0,27,17.710418
58.0,58,17.756075
27.0,27,17.776413
35.0,35,17.803333
34.0,34,17.830062
32.0,32,17.858285
41.0,41,17.954309
32.0,32,17.977619
39.0,39,18.01493
41.0,41,18.04882
31.0,31,18.08517
41.0,41,18.128753
32.0,32,18.164731
39.0,39,18.284749
36.0,36,18.328632
29.0,29,18.361718
36.0,36,18.403249
32.0,32,18.444465
45.0,45,18.500735
40.0,40,18.54466
37.0,37,18.662004
42.0,42,18.703973
32.0,32,18.727679
44.0,44,18.762264
53.0,53,18.806186
41.0,41,18.839062
41.0,41,18.990997
62.0,62,19.10633
35.0,35,19.151293
45.0,45,19.210688
39.0,39,19.276375
43.0,43,19.322738
50.0,50,19.426512
38.0,38,19.459663
38.0,38,19.490162
35.0,35,19.517426
41.0,41,19.550111
55.0,55,19.592192
40.0,40,19.684502
53.0,53,19.726568
35.0,35,19.760112
38.0,38,19.827882
45.0,45,19.911871
27.0,27,19.95607
37.0,37,20.108655
32.0,32,20.159907
35.0,35,20.201759
26.0,26,20.223203
56.0,56,20.266789
38.0,38,20.29472
39.0,39,20.323812
46.0,46,20.417891
38.0,38,20.451763
36.0,36,20.480923
38.0,38,20.512004
31.0,31,20.538059
32.0,32,20.563726
39.0,39,20.594492
38.0,38,20.696357
42.0,42,20.737263
29.0,29,20.763273
46.0,46,20.804359
35.0,35,20.83553
43.0,43,20.874228
29.0,29,20.909844
46.0,46,21.023763
39.0,39,21.055846
36.0,36,21.083709
33.0,33,21.109352
44.0,44,21.142862
54.0,54,21.188643
39.0,39,21.291858
40.0,40,21.328238
40.0,40,21.364662
41.0,41,21.398165
35.0,35,21.43033
33.0,33,21.455829
25.0,25,21.476255
50.0,50,21.651998
41.0,41,21.729343
46.0,46,21.772036
35.0,35,21.797786
57.0,57,21.840364
30.0,30,21.866408
25.0,25,21.943141
27.0,27,21.967198
43.0,43,22.000024
38.0,38,22.028496
39.0,39,22.060035
53.0,53,22.102451
38.0,38,22.162185
45.0,45,22.32838
34.0,34,22.356613
34.0,34,22.382526
51.0,51,22.431155
27.0,27,22.458177
26.0,26,22.477113
33.0,33,22.504572
39.0,39,22.605046
49.0,49,22.644917
44.0,44,22.679276
37.0,37,22.707129
32.0,32,22.732363
49.0,49,22.770173
42.0,42,22.888497
31.0,31,22.936978
40.0,40,23.006724
34.0,34,23.061315
51.0,51,23.114389
26.0,26,23.133715
32.0,32,23.157744
67.0,67,23.259531
34.0,34,23.286741
31.0,31,23.309396
47.0,47,23.344578
45.0,45,23.378162
32.0,32,23.402581
30.0,30,23.487143
27.0,27,23.510782
34.0,34,23.536911
45.0,45,23.569481
37.0,37,23.597314
30.0,30,23.618733
40.0,40,23.648612
30.0,30,23.726918
44.0,44,23.764036
41.0,41,23.80272
36.0,36,23.83609
73.0,73,23.907226
42.0,42,23.95208
34.0,34,24.048493
28.0,28,24.077349
40.0,40,24.10913
46.0,46,24.151722
40.0,40,24.190223
54.0,54,24.238402
39.0,39,24.33048
33.0,33,24.367543
30.0,30,24.403599
46.0,46,24.443836
41.0,41,24.478354
67.0,67,24.532246
30.0,30,24.559361
48.0,48,24.670475
24.0,24,24.69039
28.0,28,24.71687
35.0,35,24.750406
35.0,35,24.783614
50.0,50,24.829875
50.0,50,24.944017
38.0,38,24.976577
46.0,46,25.013267
49.0,49,25.091452
29.0,29,25.142315
43.0,43,25.210173
51.0,51,25.399786
37.0,37,25.45904
40.0,40,25.528872
46.0,46,25.583678
31.0,31,25.617728
38.0,38,25.677094
25.0,25,25.714342
75.0,75,25.905598
48.0,48,25.945195
24.0,24,25.965625
39.0,39,25.99758
27.0,27,26.022894
64.0,64,26.131139
54.0,54,26.30315
32.0,32,26.328166
32.0,32,26.353221
33.0,33,26.380439
43.0,43,26.413931
38.0,38,26.444573
41.0,41,26.541478
28.0,28,26.574962
41.0,41,26.621174
46.0,46,26.665106
40.0,40,26.703439
45.0,45,26.743791
43.0,43,26.780386
38.0,38,26.883068
47.0,47,26.928833
42.0,42,26.966045
40.0,40,27.004707
57.0,57,27.064122
41.0,41,27.169923
61.0,61,27.231727
53.0,53,27.2797
47.0,47,27.322469
40.0,40,27.358272
48.0,48,27.415452
